| end of epoch 347 | time:  8.15s | valid loss  4.25 | valid ppl    70.17
| end of epoch 348 | time:  8.14s | valid loss  4.26 | valid ppl    70.90
| end of epoch 349 | time:  8.08s | valid loss  4.26 | valid ppl    70.91
| end of epoch 350 | time:  8.09s | valid loss  4.25 | valid ppl    70.01
| end of epoch 351 | time:  8.07s | valid loss  4.26 | valid ppl    70.96
| end of epoch 352 | time:  8.08s | valid loss  4.26 | valid ppl    70.94
| end of epoch 353 | time:  8.16s | valid loss  4.25 | valid ppl    70.39
| end of epoch 354 | time:  8.14s | valid loss  4.26 | valid ppl    70.74
| end of epoch 355 | time:  8.12s | valid loss  4.27 | valid ppl    71.88
| end of epoch 356 | time:  8.10s | valid loss  4.27 | valid ppl    71.34
| end of epoch 357 | time:  8.13s | valid loss  4.26 | valid ppl    70.52
| end of epoch 358 | time:  8.12s | valid loss  4.26 | valid ppl    70.53
| end of epoch 359 | time:  8.10s | valid loss  4.27 | valid ppl    71.69
| end of epoch 360 | time:  8.15s | valid loss  4.25 | valid ppl    70.44
| end of epoch 361 | time:  8.15s | valid loss  4.26 | valid ppl    70.92
| end of epoch 362 | time:  8.12s | valid loss  4.28 | valid ppl    72.46
| end of epoch 363 | time:  8.14s | valid loss  4.25 | valid ppl    70.44
| end of epoch 364 | time:  8.10s | valid loss  4.28 | valid ppl    71.95
| end of epoch 365 | time:  8.11s | valid loss  4.26 | valid ppl    71.00
| end of epoch 366 | time:  8.14s | valid loss  4.27 | valid ppl    71.72
| end of epoch 367 | time:  8.15s | valid loss  4.25 | valid ppl    69.89
| end of epoch 368 | time:  8.14s | valid loss  4.27 | valid ppl    71.77
