| end of epoch 334 | time:  8.87s | valid loss  4.25 | valid ppl    70.06
| end of epoch 335 | time:  8.86s | valid loss  4.23 | valid ppl    69.01
| end of epoch 336 | time:  8.86s | valid loss  4.25 | valid ppl    70.11
| end of epoch 337 | time:  8.88s | valid loss  4.25 | valid ppl    70.11
| end of epoch 338 | time:  8.88s | valid loss  4.26 | valid ppl    71.00
| end of epoch 339 | time:  8.94s | valid loss  4.25 | valid ppl    70.26
| end of epoch 340 | time:  8.89s | valid loss  4.25 | valid ppl    69.80
| end of epoch 341 | time:  8.88s | valid loss  4.25 | valid ppl    70.46
| end of epoch 342 | time:  8.89s | valid loss  4.26 | valid ppl    70.78
| end of epoch 343 | time:  8.86s | valid loss  4.26 | valid ppl    70.60
| end of epoch 344 | time:  8.87s | valid loss  4.26 | valid ppl    70.55
| end of epoch 345 | time:  8.86s | valid loss  4.23 | valid ppl    68.92
| end of epoch 346 | time:  8.90s | valid loss  4.28 | valid ppl    72.15
| end of epoch 347 | time:  8.92s | valid loss  4.25 | valid ppl    69.82
| end of epoch 348 | time:  8.86s | valid loss  4.25 | valid ppl    70.27
| end of epoch 349 | time:  8.86s | valid loss  4.26 | valid ppl    70.46
| end of epoch 350 | time:  8.89s | valid loss  4.23 | valid ppl    68.50
| end of epoch 351 | time:  8.88s | valid loss  4.26 | valid ppl    70.57
| end of epoch 352 | time:  8.87s | valid loss  4.26 | valid ppl    71.12
| end of epoch 353 | time:  8.89s | valid loss  4.25 | valid ppl    70.12
| end of epoch 354 | time:  8.84s | valid loss  4.26 | valid ppl    70.68
| end of epoch 355 | time:  8.87s | valid loss  4.27 | valid ppl    71.75
| end of epoch 356 | time:  8.88s | valid loss  4.26 | valid ppl    71.03
| end of epoch 357 | time:  8.88s | valid loss  4.24 | valid ppl    69.47
| end of epoch 358 | time:  8.88s | valid loss  4.25 | valid ppl    70.01
| end of epoch 359 | time:  8.87s | valid loss  4.28 | valid ppl    71.92
| end of epoch 360 | time:  8.89s | valid loss  4.26 | valid ppl    70.83
| end of epoch 361 | time:  8.86s | valid loss  4.25 | valid ppl    70.05
| end of epoch 362 | time:  8.92s | valid loss  4.28 | valid ppl    72.45
| end of epoch 363 | time:  8.90s | valid loss  4.26 | valid ppl    70.61
| end of epoch 364 | time:  8.92s | valid loss  4.28 | valid ppl    72.28
| end of epoch 365 | time:  8.92s | valid loss  4.26 | valid ppl    70.95
| end of epoch 366 | time:  8.90s | valid loss  4.28 | valid ppl    72.01
| end of epoch 367 | time:  8.88s | valid loss  4.25 | valid ppl    70.23
| end of epoch 368 | time:  8.84s | valid loss  4.28 | valid ppl    72.33
