| end of epoch 249 | time:  9.13s | valid loss  4.70 | valid ppl   110.44
| end of epoch 250 | time:  9.11s | valid loss  4.64 | valid ppl   103.48
| end of epoch 251 | time:  9.12s | valid loss  4.62 | valid ppl   101.36
| end of epoch 252 | time:  9.16s | valid loss  4.62 | valid ppl   101.52
| end of epoch 253 | time:  9.14s | valid loss  4.67 | valid ppl   106.64
| end of epoch 254 | time:  9.11s | valid loss  4.60 | valid ppl    99.66
| end of epoch 255 | time:  9.14s | valid loss  4.59 | valid ppl    98.23
| end of epoch 256 | time:  9.16s | valid loss  4.62 | valid ppl   101.77
| end of epoch 257 | time:  9.14s | valid loss  4.58 | valid ppl    97.24
| end of epoch 258 | time:  9.14s | valid loss  4.65 | valid ppl   104.08
| end of epoch 259 | time:  9.12s | valid loss  4.59 | valid ppl    98.88
| end of epoch 260 | time:  9.14s | valid loss  4.66 | valid ppl   106.15
| end of epoch 261 | time:  9.13s | valid loss  4.61 | valid ppl   100.71
| end of epoch 262 | time:  9.14s | valid loss  4.60 | valid ppl    99.27
| end of epoch 263 | time:  9.15s | valid loss  4.64 | valid ppl   103.78
| end of epoch 264 | time:  9.18s | valid loss  4.62 | valid ppl   101.58
| end of epoch 265 | time:  9.15s | valid loss  4.71 | valid ppl   111.25
| end of epoch 266 | time:  9.14s | valid loss  4.65 | valid ppl   104.58
| end of epoch 267 | time:  9.12s | valid loss  4.64 | valid ppl   103.32
| end of epoch 268 | time:  9.15s | valid loss  4.64 | valid ppl   103.61
| end of epoch 269 | time:  9.16s | valid loss  4.62 | valid ppl   101.69
| end of epoch 270 | time:  9.16s | valid loss  4.65 | valid ppl   104.51
| end of epoch 271 | time:  9.14s | valid loss  4.57 | valid ppl    96.86
| end of epoch 272 | time:  9.11s | valid loss  4.66 | valid ppl   106.16
| end of epoch 273 | time:  9.13s | valid loss  4.60 | valid ppl    99.89
| end of epoch 274 | time:  9.12s | valid loss  4.58 | valid ppl    97.65
| end of epoch 275 | time:  9.11s | valid loss  4.60 | valid ppl    99.51
| end of epoch 276 | time:  9.12s | valid loss  4.61 | valid ppl   100.47
| end of epoch 277 | time:  9.17s | valid loss  4.69 | valid ppl   109.28
| end of epoch 278 | time:  9.16s | valid loss  4.61 | valid ppl   100.99
| end of epoch 279 | time:  9.13s | valid loss  4.63 | valid ppl   102.10
| end of epoch 280 | time:  9.12s | valid loss  4.73 | valid ppl   112.75
| end of epoch 281 | time:  9.15s | valid loss  4.57 | valid ppl    96.29
| end of epoch 282 | time:  9.14s | valid loss  4.62 | valid ppl   101.90
| end of epoch 283 | time:  9.16s | valid loss  4.63 | valid ppl   102.61
| end of epoch 284 | time:  9.14s | valid loss  4.57 | valid ppl    96.70
| end of epoch 285 | time:  9.12s | valid loss  4.64 | valid ppl   103.72
| end of epoch 286 | time:  9.12s | valid loss  4.67 | valid ppl   106.46
| end of epoch 287 | time:  9.15s | valid loss  4.62 | valid ppl   101.91
| end of epoch 288 | time:  9.14s | valid loss  4.64 | valid ppl   103.50
| end of epoch 289 | time:  9.13s | valid loss  4.61 | valid ppl   100.27
| end of epoch 290 | time:  9.14s | valid loss  4.60 | valid ppl    99.39
| end of epoch 291 | time:  9.14s | valid loss  4.57 | valid ppl    96.88
| end of epoch 292 | time:  9.14s | valid loss  4.69 | valid ppl   108.84
| end of epoch 293 | time:  9.16s | valid loss  4.64 | valid ppl   103.51
| end of epoch 294 | time:  9.14s | valid loss  4.61 | valid ppl   100.98
| end of epoch 295 | time:  9.14s | valid loss  4.62 | valid ppl   101.22
| end of epoch 296 | time:  9.16s | valid loss  4.68 | valid ppl   107.83
| end of epoch 297 | time:  9.16s | valid loss  4.61 | valid ppl   100.36
| end of epoch 298 | time:  9.14s | valid loss  4.68 | valid ppl   107.52
| end of epoch 299 | time:  9.10s | valid loss  4.60 | valid ppl    99.07
| end of epoch 300 | time:  9.17s | valid loss  4.64 | valid ppl   103.82
| end of epoch 301 | time:  9.16s | valid loss  4.60 | valid ppl    99.95
| end of epoch 302 | time:  9.15s | valid loss  4.64 | valid ppl   103.06
| end of epoch 303 | time:  9.14s | valid loss  4.62 | valid ppl   101.73
| end of epoch 304 | time:  9.15s | valid loss  4.59 | valid ppl    98.92
| end of epoch 305 | time:  9.10s | valid loss  4.65 | valid ppl   104.36
| end of epoch 306 | time:  9.12s | valid loss  4.61 | valid ppl   100.18
| end of epoch 307 | time:  9.12s | valid loss  4.65 | valid ppl   104.88
| end of epoch 308 | time:  9.13s | valid loss  4.69 | valid ppl   109.31
| end of epoch 309 | time:  9.19s | valid loss  4.74 | valid ppl   114.17
| end of epoch 310 | time:  9.15s | valid loss  4.63 | valid ppl   102.37
| end of epoch 311 | time:  9.16s | valid loss  4.61 | valid ppl   100.20
| end of epoch 312 | time:  9.13s | valid loss  4.67 | valid ppl   106.47
| end of epoch 313 | time:  9.12s | valid loss  4.68 | valid ppl   107.41
| end of epoch 314 | time:  9.12s | valid loss  4.61 | valid ppl   100.40
| end of epoch 315 | time:  9.13s | valid loss  4.66 | valid ppl   105.53
| end of epoch 316 | time:  9.13s | valid loss  4.63 | valid ppl   102.36
| end of epoch 317 | time:  9.17s | valid loss  4.63 | valid ppl   102.08
| end of epoch 318 | time:  9.15s | valid loss  4.65 | valid ppl   104.30
| end of epoch 319 | time:  9.12s | valid loss  4.65 | valid ppl   104.24
| end of epoch 320 | time:  9.13s | valid loss  4.62 | valid ppl   101.37
| end of epoch 321 | time:  9.14s | valid loss  4.73 | valid ppl   113.38
| end of epoch 322 | time:  9.15s | valid loss  4.64 | valid ppl   104.06
| end of epoch 323 | time:  9.14s | valid loss  4.69 | valid ppl   109.22
| end of epoch 324 | time:  9.13s | valid loss  4.62 | valid ppl   101.48
| end of epoch 325 | time:  9.13s | valid loss  4.60 | valid ppl    99.63
| end of epoch 326 | time:  9.14s | valid loss  4.64 | valid ppl   103.64
| end of epoch 327 | time:  9.13s | valid loss  4.62 | valid ppl   101.56
| end of epoch 328 | time:  9.15s | valid loss  4.57 | valid ppl    96.91
| end of epoch 329 | time:  9.15s | valid loss  4.64 | valid ppl   103.45
| end of epoch 330 | time:  9.16s | valid loss  4.63 | valid ppl   102.41
| end of epoch 331 | time:  9.14s | valid loss  4.62 | valid ppl   101.05
| end of epoch 332 | time:  9.12s | valid loss  4.61 | valid ppl   100.72
